Product ID / ASIN,Marketplace,Source,Title,Link,Brand
"B0DZT7NYRY","amazon.com","Top Amazon (ID: top_amazon - desktop)","100% Egyptian Cotton Percale Bundle - 6 Piece California King Size Sheet Set with 4 Pillowcases - Beige","https://lvnta.com/lv_NqmWqr4wlf1PB8gNMF","California Design Den"
"B0C7L1J2LC","amazon.com","- (ID: default)","Double Stitch Cotton Tencel Sheet - Bed Sheets Set California King, 4Pc Luxury Hotel Bedding Set, Soft, Cooling & Breathable for Hot Sleepers, Deep Pocket Up to 16 Inches, Sandstone","https://www.amazon.com/dp/B0C7L1J2LC?maas=maas_adg_api_587949735981289087_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_TYLETsfDItQIWJ3796&aa_adgroupid=lv_NiA8BZx6petB7f5BjP&aa_creativeid=lv_bif7mRDsi1oxw9o8mv&m=A3LDROY0BE4ISH","Bedsure"
"B08HWNLDPC","amazon.com","Top Amazon (ID: top_amazon - mobile)","California Design Den Luxury 100% Cotton Sateen Buttery Soft 800 Thread Count Queen Bed Sheet Set, Beats Fake Egyptian Claim, Durable Deep Pocket Fitted Sheet (Queen, Charcoal)","https://www.amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_3Cjyuy4ZElhcdbciL8&aa_creativeid=lv_huApYF2EwKQlf2pMxs&m=AXT11B3W0G30N","California Design Den"
"B08HWNLDPC","amazon.com","Top Amazon (ID: top_amazon - desktop)","California Design Den Luxury 100% Cotton Sateen Buttery Soft 800 Thread Count Queen Bed Sheet Set, Beats Fake Egyptian Claim, Durable Deep Pocket Fitted Sheet (Queen, Charcoal)","https://www.amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_vMsve25vBbow9nDeCT&aa_creativeid=lv_mCeQzc2pAUYGx5F1E6&m=AXT11B3W0G30N","California Design Den"
"B08HWNLDPC","amazon.com","- (ID: default)","California Design Den Luxury 100% Cotton Sateen Buttery Soft 800 Thread Count Queen Bed Sheet Set, Beats Fake Egyptian Claim, Durable Deep Pocket Fitted Sheet (Queen, Charcoal)","https://www.amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_QFFWhTwFwslR8hyEu1&aa_creativeid=lv_iJYmhKGOwOKnfvEiW2&m=AXT11B3W0G30N","California Design Den"
"B0CX34SKD3","amazon.com","- (ID: default)","Bare Home 100% Rayon Made from Bamboo King Sheet Set - 4 Piece Bedding Set - Deep Pockets - Breathable - Easy Fit - Bedding Sheets & Pillowcases (King, Coronet Blue)","https://www.amazon.com/dp/B0CX34SKD3?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_wlxEtC1EHM3XnIp1uB&aa_adgroupid=lv_AiPuEpP4420WOHk9YQ&aa_creativeid=lv_6iePTWP9qIHePo9yMU&m=A3UBXJ2R9SZ9Z4","Bare Home US"
"B0B1G3945W","amazon.com","Top Amazon (ID: top_amazon - desktop)","Bare Home King Sheet Set - Luxury 100% European Linen - Deep Pockets - Easy Fit - 4 Piece Set - Bedding Sheets & Pillowcases (King, Natural)","https://www.amazon.com/dp/B0B1G3945W?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_Tb1d28fRca4mmQEf1w&aa_adgroupid=lv_IQGqkIijRcjAl02eH1&aa_creativeid=lv_VN5JK56gLVsQ9WTaic&m=A3UBXJ2R9SZ9Z4","Bare Home US"
"B0B1G3945W","amazon.com","Top Amazon (ID: top_amazon - mobile)","Bare Home King Sheet Set - Luxury 100% European Linen - Deep Pockets - Easy Fit - 4 Piece Set - Bedding Sheets & Pillowcases (King, Natural)","https://www.amazon.com/dp/B0B1G3945W?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_Tb1d28fRca4mmQEf1w&aa_adgroupid=lv_J5mFLOkDAi2JaD32Cq&aa_creativeid=lv_heFmTc6bj63mafrIWU&m=A3UBXJ2R9SZ9Z4","Bare Home US"
"B09X1NZ5RM","amazon.com","Top Queen Amazon (ID: top_queen_amazon - desktop)","King Size Sheets Set - Natural 100% Cotton Sheets King Size with Deep Pockets, Soft Sateen Weave, Breathable, Cooling and Durable Bedding Set by California Design Den (Blue Hydrangea)","https://www.amazon.com/dp/B09X1NZ5RM?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_MxCZe5AK3nLI6BNqIh&aa_adgroupid=lv_Tc6Qd176BP8rbcq762&aa_creativeid=lv_tagOoVZPZu1KFcepDb&m=AXT11B3W0G30N","California Design Den"
"B09X1NZ5RM","amazon.com","Top Queen Amazon (ID: top_queen_amazon - mobile)","King Size Sheets Set - Natural 100% Cotton Sheets King Size with Deep Pockets, Soft Sateen Weave, Breathable, Cooling and Durable Bedding Set by California Design Den (Blue Hydrangea)","https://www.amazon.com/dp/B09X1NZ5RM?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_MxCZe5AK3nLI6BNqIh&aa_adgroupid=lv_BUc3u875e9TnfRDEH2&aa_creativeid=lv_nCofxLHguNPDZnfmW6&m=AXT11B3W0G30N","California Design Den"
